section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,vel,ac
0,source,train,normal,0,"['vel', '380', 'ac', '0.03']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0000_vel_380_ac_0.03.wav,380,0.03
0,source,train,normal,1,"['vel', '500', 'ac', '0.30']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0001_vel_500_ac_0.30.wav,500,0.30
0,source,train,normal,2,"['vel', '580', 'ac', '0.07']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0002_vel_580_ac_0.07.wav,580,0.07
0,source,train,normal,3,"['vel', '660', 'ac', '0.09']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0003_vel_660_ac_0.09.wav,660,0.09
0,source,train,normal,4,"['vel', '730', 'ac', '0.11']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0004_vel_730_ac_0.11.wav,730,0.11
0,source,train,normal,5,"['vel', '660', 'ac', '0.09']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0005_vel_660_ac_0.09.wav,660,0.09
0,source,train,normal,6,"['vel', '1100', 'ac', '0.30']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0006_vel_1100_ac_0.30.wav,1100,0.30
0,source,train,normal,7,"['vel', '700', 'ac', '0.30']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0007_vel_700_ac_0.30.wav,700,0.30
0,source,train,normal,8,"['vel', '660', 'ac', '0.09']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0008_vel_660_ac_0.09.wav,660,0.09
0,source,train,normal,9,"['vel', '1100', 'ac', '0.30']",slider,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/slider/train/section_00_source_train_normal_0009_vel_1100_ac_0.30.wav,1100,0.30
