section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,grindstone,plate
0,source,train,normal,0,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0000_grindstone_2_plate_2.wav,2,2
0,source,train,normal,1,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0001_grindstone_2_plate_2.wav,2,2
0,source,train,normal,2,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0002_grindstone_3_plate_3.wav,3,3
0,source,train,normal,3,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0003_grindstone_2_plate_2.wav,2,2
0,source,train,normal,4,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0004_grindstone_3_plate_3.wav,3,3
0,source,train,normal,5,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0005_grindstone_1_plate_1.wav,1,1
0,source,train,normal,6,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0006_grindstone_3_plate_3.wav,3,3
0,source,train,normal,7,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0007_grindstone_1_plate_1.wav,1,1
0,source,train,normal,8,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0008_grindstone_1_plate_1.wav,1,1
0,source,train,normal,9,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0009_grindstone_3_plate_3.wav,3,3
0,source,train,normal,10,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0010_grindstone_1_plate_1.wav,1,1
0,source,train,normal,11,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0011_grindstone_1_plate_1.wav,1,1
0,source,train,normal,12,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0012_grindstone_3_plate_3.wav,3,3
0,source,train,normal,13,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0013_grindstone_3_plate_3.wav,3,3
0,source,train,normal,14,"['grindstone', '1', 'plate', '1']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0014_grindstone_1_plate_1.wav,1,1
0,source,train,normal,15,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0015_grindstone_2_plate_2.wav,2,2
0,source,train,normal,16,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0016_grindstone_2_plate_2.wav,2,2
0,source,train,normal,17,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0017_grindstone_2_plate_2.wav,2,2
0,source,train,normal,18,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0018_grindstone_2_plate_2.wav,2,2
0,source,train,normal,19,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0019_grindstone_2_plate_2.wav,2,2
0,source,train,normal,20,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0020_grindstone_2_plate_2.wav,2,2
0,source,train,normal,21,"['grindstone', '3', 'plate', '3']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0021_grindstone_3_plate_3.wav,3,3
0,source,train,normal,22,"['grindstone', '2', 'plate', '2']",grinder,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/grinder/train/section_00_source_train_normal_0022_grindstone_2_plate_2.wav,2,2
