section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,car,spd,mic
0,source,train,normal,0,"['car', 'B2', 'spd', '3', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0000_car_B2_spd_3_mic_1.wav,B2,3,1
0,source,train,normal,1,"['car', 'A1', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0001_car_A1_spd_4_mic_1.wav,A1,4,1
0,source,train,normal,2,"['car', 'A1', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0002_car_A1_spd_4_mic_1.wav,A1,4,1
0,source,train,normal,3,"['car', 'A1', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0003_car_A1_spd_4_mic_1.wav,A1,4,1
0,source,train,normal,4,"['car', 'A1', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0004_car_A1_spd_4_mic_1.wav,A1,4,1
0,source,train,normal,5,"['car', 'A1', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0005_car_A1_spd_4_mic_1.wav,A1,4,1
0,source,train,normal,6,"['car', 'A2', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0006_car_A2_spd_4_mic_1.wav,A2,4,1
0,source,train,normal,7,"['car', 'A2', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0007_car_A2_spd_4_mic_1.wav,A2,4,1
0,source,train,normal,8,"['car', 'A2', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0008_car_A2_spd_4_mic_1.wav,A2,4,1
0,source,train,normal,9,"['car', 'A2', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0009_car_A2_spd_4_mic_1.wav,A2,4,1
0,source,train,normal,10,"['car', 'A2', 'spd', '4', 'mic', '1']",ToyTank,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/ToyTank/train/section_00_source_train_normal_0010_car_A2_spd_4_mic_1.wav,A2,4,1
