section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,speed
0,source,train,normal,0,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0000_speed_1000.wav,1000
0,source,train,normal,1,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0001_speed_1000.wav,1000
0,source,train,normal,2,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0002_speed_1000.wav,1000
0,source,train,normal,3,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0003_speed_1000.wav,1000
0,source,train,normal,4,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0004_speed_1500.wav,1500
0,source,train,normal,5,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0005_speed_1500.wav,1500
0,source,train,normal,6,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0006_speed_1000.wav,1000
0,source,train,normal,7,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0007_speed_1000.wav,1000
0,source,train,normal,8,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0008_speed_1500.wav,1500
0,source,train,normal,9,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0009_speed_1000.wav,1000
0,source,train,normal,10,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0010_speed_1000.wav,1000
0,source,train,normal,11,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0011_speed_1000.wav,1000
0,source,train,normal,12,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0012_speed_1500.wav,1500
0,source,train,normal,13,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0013_speed_1000.wav,1000
0,source,train,normal,14,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0014_speed_1500.wav,1500
0,source,train,normal,15,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0015_speed_1500.wav,1500
0,source,train,normal,16,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0016_speed_1000.wav,1000
0,source,train,normal,17,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0017_speed_1500.wav,1500
0,source,train,normal,18,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0018_speed_1500.wav,1500
0,source,train,normal,19,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0019_speed_1500.wav,1500
0,source,train,normal,20,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0020_speed_1500.wav,1500
0,source,train,normal,21,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0021_speed_1000.wav,1000
0,source,train,normal,22,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0022_speed_1000.wav,1000
0,source,train,normal,23,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0023_speed_1000.wav,1000
0,source,train,normal,24,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0024_speed_1000.wav,1000
0,source,train,normal,25,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0025_speed_1500.wav,1500
0,source,train,normal,26,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0026_speed_1000.wav,1000
0,source,train,normal,27,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0027_speed_1000.wav,1000
0,source,train,normal,28,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0028_speed_1500.wav,1500
0,source,train,normal,29,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0029_speed_1000.wav,1000
0,source,train,normal,30,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0030_speed_1500.wav,1500
0,source,train,normal,31,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0031_speed_1000.wav,1000
0,source,train,normal,32,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0032_speed_1500.wav,1500
0,source,train,normal,33,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0033_speed_1000.wav,1000
0,source,train,normal,34,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0034_speed_1000.wav,1000
0,source,train,normal,35,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0035_speed_1500.wav,1500
0,source,train,normal,36,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0036_speed_1000.wav,1000
0,source,train,normal,37,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0037_speed_1500.wav,1500
0,source,train,normal,38,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0038_speed_1500.wav,1500
0,source,train,normal,39,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0039_speed_1000.wav,1000
0,source,train,normal,40,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0040_speed_1000.wav,1000
0,source,train,normal,41,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0041_speed_1000.wav,1000
0,source,train,normal,42,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0042_speed_1500.wav,1500
0,source,train,normal,43,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0043_speed_1500.wav,1500
0,source,train,normal,44,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0044_speed_1000.wav,1000
0,source,train,normal,45,"['speed', '1000']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0045_speed_1000.wav,1000
0,source,train,normal,46,"['speed', '1500']",shaker,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/evaluation/shaker/train/section_00_source_train_normal_0046_speed_1500.wav,1500
