section_id	domain	train/test	label	wave_id	attributes	filename	mtype	wave_path
00	source	test	anomaly	0001	['car', 'B1', 'spd', '31V', 'mic', '1']	section_00_source_test_anomaly_0001_car_B1_spd_31V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0001_car_B1_spd_31V_mic_1.wav
00	source	test	anomaly	0002	['car', 'B1', 'spd', '31V', 'mic', '1']	section_00_source_test_anomaly_0002_car_B1_spd_31V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0002_car_B1_spd_31V_mic_1.wav
00	source	test	anomaly	0003	['car', 'B1', 'spd', '34V', 'mic', '1']	section_00_source_test_anomaly_0003_car_B1_spd_34V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0003_car_B1_spd_34V_mic_1.wav
00	source	test	anomaly	0004	['car', 'B1', 'spd', '40V', 'mic', '1']	section_00_source_test_anomaly_0004_car_B1_spd_40V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0004_car_B1_spd_40V_mic_1.wav
00	source	test	anomaly	0005	['car', 'B1', 'spd', '31V', 'mic', '1']	section_00_source_test_anomaly_0005_car_B1_spd_31V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0005_car_B1_spd_31V_mic_1.wav
00	source	test	anomaly	0006	['car', 'B1', 'spd', '31V', 'mic', '1']	section_00_source_test_anomaly_0006_car_B1_spd_31V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0006_car_B1_spd_31V_mic_1.wav
00	source	test	anomaly	0007	['car', 'B1', 'spd', '34V', 'mic', '1']	section_00_source_test_anomaly_0007_car_B1_spd_34V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0007_car_B1_spd_34V_mic_1.wav
00	source	test	anomaly	0008	['car', 'B1', 'spd', '40V', 'mic', '1']	section_00_source_test_anomaly_0008_car_B1_spd_40V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0008_car_B1_spd_40V_mic_1.wav
00	source	test	anomaly	0009	['car', 'B1', 'spd', '40V', 'mic', '1']	section_00_source_test_anomaly_0009_car_B1_spd_40V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0009_car_B1_spd_40V_mic_1.wav
00	source	test	anomaly	0010	['car', 'B2', 'spd', '31V', 'mic', '1']	section_00_source_test_anomaly_0010_car_B2_spd_31V_mic_1.wav	ToyCar	<dir>/dcase2023_t2/development/ToyCar/test/section_00_source_test_anomaly_0010_car_B2_spd_31V_mic_1.wav
