section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,m-n
0,source,train,normal,0,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0000_m-n_X.wav,X
0,source,train,normal,1,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0001_m-n_W.wav,W
0,source,train,normal,2,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0002_m-n_X.wav,X
0,source,train,normal,3,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0003_m-n_X.wav,X
0,source,train,normal,4,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0004_m-n_W.wav,W
0,source,train,normal,5,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0005_m-n_X.wav,X
0,source,train,normal,6,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0006_m-n_X.wav,X
0,source,train,normal,7,"['m-n', 'X']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0007_m-n_X.wav,X
0,source,train,normal,8,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0008_m-n_W.wav,W
0,source,train,normal,9,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0009_m-n_W.wav,W
0,source,train,normal,10,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0010_m-n_W.wav,W
0,source,train,normal,11,"['m-n', 'W']",fan,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/fan/train/section_00_source_train_normal_0011_m-n_W.wav,W
