section_id,domain,train/test,label,wave_id,attributes,mtype,wave_path,car,spd,mic
0,source,train,normal,1,"['car', 'B2', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0001_car_B2_spd_7_mic_1.wav,B2,7,1
0,source,train,normal,2,"['car', 'B2', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0002_car_B2_spd_7_mic_1.wav,B2,7,1
0,source,train,normal,3,"['car', 'B2', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0003_car_B2_spd_7_mic_1.wav,B2,7,1
0,source,train,normal,4,"['car', 'B2', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0004_car_B2_spd_7_mic_1.wav,B2,7,1
0,source,train,normal,5,"['car', 'B2', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0005_car_B2_spd_7_mic_1.wav,B2,7,1
0,source,train,normal,6,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0006_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,7,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0007_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,8,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0008_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,9,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0009_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,10,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0010_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,11,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0011_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,12,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0012_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,13,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0013_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,14,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0014_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,15,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0015_car_B1_spd_7_mic_1.wav,B1,7,1
0,source,train,normal,16,"['car', 'B1', 'spd', '7', 'mic', '1']",ToyTrain,/DKUdata/2020/zhangyc/corpus/raw_data/dcase2023_t2/development/ToyTrain/train/section_00_source_train_normal_0016_car_B1_spd_7_mic_1.wav,B1,7,1
